ID	Concept_ID	Class	English	French	MSA	Dialect	Example	En_lemma_POS	Fr_lemma_POS	MSA_lemma_POS	CODA	Tokenization	CAPHI	Release Status	Release Note
914	28	OpenClass	pain , hurt	douleur , mal	أَلَم	RIY		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	وجع	وجع	w a j a 3	READY	
942	29	OpenClass	special	spécial	خاصّ	JED		special_ADJ	spécial_ADJ	xASX_ADJ	خاص	خاص	kh aa s. s.	READY	
945	29	OpenClass	special	spécial	خاصّ	RIY		special_ADJ	spécial_ADJ	xASX_ADJ	خاص	خاص	kh aa s. s.	READY	
966	29	OpenClass	special	spécial	خاصّ	JED		special_ADJ	spécial_ADJ	xASX_ADJ	متميز	متميز	m u t a m a y y i z	READY	
967	29	OpenClass	special	spécial	خاصّ	RIY		special_ADJ	spécial_ADJ	xASX_ADJ	متميز	متميز	m u t a m a y y i z	READY	
983	29	OpenClass	special	spécial	خاصّ	JED		special_ADJ	spécial_ADJ	xASX_ADJ	مميز	مميز	m u m a y y a z	READY	
985	29	OpenClass	special	spécial	خاصّ	RIY		special_ADJ	spécial_ADJ	xASX_ADJ	مميز	مميز	m u m a y y a z	READY	
994	31	OpenClass	personal	personnel	شَخْصِيّ	JED		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	خاص	خاص	kh aa s. s.	READY	
996	31	OpenClass	personal	personnel	شَخْصِيّ	RIY		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	خاص	خاص	kh aa s. s.	READY	
1005	31	OpenClass	personal	personnel	شَخْصِيّ	JED		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	خصوصي	خصوصي	kh u s. uu s. i	READY	
1006	31	OpenClass	personal	personnel	شَخْصِيّ	RIY		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	خصوصي	خصوصي	kh u s. uu s. i	READY	
1009	31	OpenClass	personal	personnel	شَخْصِيّ	JED		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	ذاتي	ذات +ي	dh aa t i	READY	
1010	31	OpenClass	personal	personnel	شَخْصِيّ	RIY		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	ذاتي	ذات +ي	dh aa t i	READY	
1014	31	OpenClass	personal	personnel	شَخْصِيّ	JED		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	ذاتي	ذات +ي	z aa t i	READY	
1028	31	OpenClass	personal	personnel	شَخْصِيّ	JED		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	شخصي	شخصي	sh a kh s. i	READY	
1033	31	OpenClass	personal	personnel	شَخْصِيّ	RIY		personal_ADJ	personnel_ADJ	caxoSiyX_ADJ	شخصي	شخصي	sh a kh s. i	READY	
1063	32	OpenClass	stay	séjour	إِقامَة	JED		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	جلسة	جلسة	j a l s a	READY	
1064	32	OpenClass	stay	séjour	إِقامَة	RIY		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	جلسة	جلسة	j a l s a	READY	
1078	32	OpenClass	stay	séjour	إِقامَة	JED		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	قعدة	قعدة	g a 3 d a	READY	
1079	32	OpenClass	stay	séjour	إِقامَة	RIY		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	قعدة	قعدة	g a 3 d a	READY	
1088	32	OpenClass	stay	séjour	إِقامَة	JED		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	نزلة	نزلة	n a z l a	READY	
1089	32	OpenClass	stay	séjour	إِقامَة	RIY		stay_NOUN	séjour_NOUN	IiqAmap_NOUN	نزلة	نزلة	n a z l a	READY	
1106	33	OpenClass	fruit	fruit	فاكِهَة	JED		fruit_NOUN	fruit_NOUN	fAkihap_NOUN	فاكهة	فاكهة	f aa k h a	READY	
1108	33	OpenClass	fruit	fruit	فاكِهَة	RIY		fruit_NOUN	fruit_NOUN	fAkihap_NOUN	فاكهة	فاكهة	f aa k h a	READY	
1152	34	OpenClass	message	message	رِسالَة	JED		message_NOUN	message_NOUN	risAlap_NOUN	خطاب	خطاب	kh i t. aa b	READY	
1153	34	OpenClass	message	message	رِسالَة	RIY		message_NOUN	message_NOUN	risAlap_NOUN	خطاب	خطاب	kh i t. aa b	READY	
1161	34	OpenClass	message	message	رِسالَة	JED		message_NOUN	message_NOUN	risAlap_NOUN	رسالة	رسالة	r i s aa l a	READY	
1166	34	OpenClass	message	message	رِسالَة	RIY		message_NOUN	message_NOUN	risAlap_NOUN	رسالة	رسالة	r i s aa l a	READY	
1205	35	OpenClass	american	américain	أَمْرِيكِيّ	JED		american_ADJ	américain_ADJ	OamoriykiyX_ADJ	امريكي	امريكي	2 a m r ii k i	CHECK	Foreign
1208	35	OpenClass	american	américain	أَمْرِيكِيّ	RIY		american_ADJ	américain_ADJ	OamoriykiyX_ADJ	امريكي	امريكي	2 a m r ii k i	CHECK	Foreign
1247	36	OpenClass	leather	cuir	جِلْد	JED		leather_NOUN	cuir_NOUN	jilod_NOUN	جلد	جلد	j i l d	READY	
1251	36	OpenClass	leather	cuir	جِلْد	RIY		leather_NOUN	cuir_NOUN	jilod_NOUN	جلد	جلد	j i l d	READY	
1276	37	OpenClass	cold	froid	بارِد	JED		cold_ADJ	froid_ADJ	bArid_ADJ	بارد	بارد	b aa r i d	READY	
1281	37	OpenClass	cold	froid	بارِد	RIY		cold_ADJ	froid_ADJ	bArid_ADJ	بارد	بارد	b aa r i d	READY	
1289	37	OpenClass	cold	froid	بارِد	JED		cold_ADJ	froid_ADJ	bArid_ADJ	برد	برد	b a r d	READY	
1291	37	OpenClass	cold	froid	بارِد	RIY		cold_ADJ	froid_ADJ	bArid_ADJ	برد	برد	b a r d	READY	
1294	37	OpenClass	cold	froid	بارِد	JED		cold_ADJ	froid_ADJ	bArid_ADJ	ثلج	ثلج	t a l j	READY	
1320	38	OpenClass	music	musique	مُوسِيقَى	JED		music_NOUN	musique_NOUN	muwsiyqaY_NOUN	طرب	طرب	t. a r a b	READY	
1321	38	OpenClass	music	musique	مُوسِيقَى	RIY		music_NOUN	musique_NOUN	muwsiyqaY_NOUN	طرب	طرب	t. a r a b	READY	
1335	38	OpenClass	music	musique	مُوسِيقَى	JED		music_NOUN	musique_NOUN	muwsiyqaY_NOUN	موسيقى	موسيقى	m u s ii g a	READY	
1336	38	OpenClass	music	musique	مُوسِيقَى	RIY		music_NOUN	musique_NOUN	muwsiyqaY_NOUN	موسيقى	موسيقى	m u s ii g a	READY	
1347	38	OpenClass	music	musique	مُوسِيقَى	JED		music_NOUN	musique_NOUN	muwsiyqaY_NOUN	موسيقى	موسيقى	m uu s ii g a	READY	
1361	39	OpenClass	blanket	couverture	بَطّانِيَّة	JED		blanket_NOUN	couverture_NOUN	baTXAniyXap_NOUN	بطانية	بطانية	b a t. t. a n i y y a	READY	
1402	39	OpenClass	blanket	couverture	بَطّانِيَّة	RIY		blanket_NOUN	couverture_NOUN	baTXAniyXap_NOUN	غطا	غطا	gh a t. a	READY	
1410	39	OpenClass	blanket	couverture	بَطّانِيَّة	RIY		blanket_NOUN	couverture_NOUN	baTXAniyXap_NOUN	فراش	فراش	f i r aa sh	READY	
1427	39	OpenClass	blanket	couverture	بَطّانِيَّة	JED		blanket_NOUN	couverture_NOUN	baTXAniyXap_NOUN	لحاف	لحاف	l i 7 aa f	READY	
1429	39	OpenClass	blanket	couverture	بَطّانِيَّة	RIY		blanket_NOUN	couverture_NOUN	baTXAniyXap_NOUN	لحاف	لحاف	l i 7 aa f	READY	
1436	40	OpenClass	beach	plage	شاطِئ	JED		beach_NOUN	plage_NOUN	cATiQ_NOUN	بحر	بحر	b a 7 a r	READY	
1439	40	OpenClass	beach	plage	شاطِئ	RIY		beach_NOUN	plage_NOUN	cATiQ_NOUN	بحر	بحر	b a 7 a r	READY	
1456	40	OpenClass	beach	plage	شاطِئ	JED		beach_NOUN	plage_NOUN	cATiQ_NOUN	شاطئ	شاطئ	sh aa t. i 2	READY	
1459	40	OpenClass	beach	plage	شاطِئ	RIY		beach_NOUN	plage_NOUN	cATiQ_NOUN	شاطئ	شاطئ	sh aa t. i 2	READY	
1476	40	OpenClass	beach	plage	شاطِئ	JED		beach_NOUN	plage_NOUN	cATiQ_NOUN	كورنيش	كورنيش	k u r n ii sh	CHECK	Foreign
1505	41	OpenClass	driver	chauffeur	سائِق	JED		driver_NOUN	chauffeur_NOUN	sAQiq_NOUN	سواق	سواق	s a w w aa g	READY	
1507	41	OpenClass	driver	chauffeur	سائِق	RIY		driver_NOUN	chauffeur_NOUN	sAQiq_NOUN	سواق	سواق	s a w w aa g	READY	
1551	42	OpenClass	juice	jus	عَصِير	JED		juice_NOUN	jus_NOUN	EaSiyr_NOUN	عصير	عصير	3 a s. ii r	READY	
1556	42	OpenClass	juice	jus	عَصِير	RIY		juice_NOUN	jus_NOUN	EaSiyr_NOUN	عصير	عصير	3 a s. ii r	READY	
1565	44	OpenClass	market	marché	سُوق	JED		market_NOUN	marché_NOUN	suwq_NOUN	سوبر ماركت	سوبر ماركت	s uu b a r # m aa r k i t	CHECK	Foreign
1580	44	OpenClass	market	marché	سُوق	JED		market_NOUN	marché_NOUN	suwq_NOUN	سوق	سوق	s uu g	READY	
1583	44	OpenClass	market	marché	سُوق	RIY		market_NOUN	marché_NOUN	suwq_NOUN	سوق	سوق	s uu g	READY	
1599	44	OpenClass	market	marché	سُوق	JED		market_NOUN	marché_NOUN	suwq_NOUN	مول	مول	m oo l	CHECK	Foreign
1600	44	OpenClass	market	marché	سُوق	RIY		market_NOUN	marché_NOUN	suwq_NOUN	مول	مول	m oo l	CHECK	Foreign
1615	45	OpenClass	tennis	tennis	تِنِس	JED		tennis_NOUN	tennis_NOUN	tinis_NOUN	تنس	تنس	t i n i s	CHECK	Foreign
1619	45	OpenClass	tennis	tennis	تِنِس	RIY		tennis_NOUN	tennis_NOUN	tinis_NOUN	تنس	تنس	t i n i s	CHECK	Foreign
1640	46	OpenClass	meeting	réunion	ٱِجْتِماع	JED		meeting_NOUN	réunion_NOUN	LijotimAE_NOUN	اجتماع	اجتماع	2 i j t i m aa 3	READY	
1645	46	OpenClass	meeting	réunion	ٱِجْتِماع	RIY		meeting_NOUN	réunion_NOUN	LijotimAE_NOUN	اجتماع	اجتماع	2 i j t i m aa 3	READY	
1659	46	OpenClass	meeting	réunion	ٱِجْتِماع	JED		meeting_NOUN	réunion_NOUN	LijotimAE_NOUN	جلسة	جلسة	j a l s a	READY	
1660	46	OpenClass	meeting	réunion	ٱِجْتِماع	RIY		meeting_NOUN	réunion_NOUN	LijotimAE_NOUN	جلسة	جلسة	j a l s a	READY	
1671	46	OpenClass	meeting	réunion	ٱِجْتِماع	JED		meeting_NOUN	réunion_NOUN	LijotimAE_NOUN	جمعة	جمعة	j a m 3 a	READY	
1728	47	OpenClass	cheese	fromage	جُبْن	JED		cheese_NOUN	fromage_NOUN	jubon_NOUN	جبنة	جبنة	j u b n a	READY	
1729	47	OpenClass	cheese	fromage	جُبْن	RIY		cheese_NOUN	fromage_NOUN	jubon_NOUN	جبنة	جبنة	j u b n a	READY	
1747	48	OpenClass	green	vert	أَخْضَر	JED		green_ADJ	vert_ADJ	OaxoDar_ADJ	اخضر	اخضر	2 a kh d. a r	READY	
1754	48	OpenClass	green	vert	أَخْضَر	RIY		green_ADJ	vert_ADJ	OaxoDar_ADJ	اخضر	اخضر	2 a kh dh. a r	READY	
1781	49	OpenClass	french	français	فَرَنْسِيّ	JED		french_ADJ	français_ADJ	faranosiyX_ADJ	فرنساوي	فرنساوي	f a r a n s aa w i	CHECK	Foreign
1796	49	OpenClass	french	français	فَرَنْسِيّ	JED		french_ADJ	français_ADJ	faranosiyX_ADJ	فرنسي	فرنسي	f a r a n s i	CHECK	Foreign
1801	49	OpenClass	french	français	فَرَنْسِيّ	RIY		french_ADJ	français_ADJ	faranosiyX_ADJ	فرنسي	فرنسي	f a r a n s i	CHECK	Foreign
1835	50	MixedClass	ham	jambon	لَحْم ال+ خِنْزِير	JED		ham_NOUN	jambon_NOUN	laHom_NOUN Al+_DET xinoziyr_NOUN	لحم خنزير	لحم خنزير	l a 7 m # kh i n z ii r	READY	
